"";"*phase_Après";"*phase_Début";"*phase_Fin";"*phase_Pic"
"even";10;0;0;0
"never";11;0;0;0
"china";12;0;0;4
"military";43;1;0;1
"would";10;0;1;0
"me";10;0;0;0
"thing";14;0;0;0
"how";14;0;0;0
"over";59;0;0;1
"them";13;0;0;0
"they";42;0;0;0
"their";19;1;0;0
"didn_t";14;0;0;1
"do";20;0;0;0
"coast";13;0;0;0
"country";23;0;1;0
"com";14;0;2;0
"been";16;0;0;1
"has";21;0;0;1
"air";13;0;0;0
"is";117;0;0;2
"it";64;2;0;3
"in";104;1;3;5
"if";11;0;0;0
"make";11;0;0;0
"the";382;2;10;8
"just";24;0;0;0
"had";12;1;0;0
"right";14;0;0;0
"float";11;0;0;1
"down";21;0;2;2
"was";40;1;0;1
"war";17;0;0;0
"it_s";23;0;0;1
"no";20;0;0;0
"for";67;2;4;0
"time";15;0;0;0
"shoot";13;0;2;2
"did";14;0;0;0
"fly";30;0;0;1
"can";12;0;0;1
"spy";122;2;2;5
"trump";32;0;0;4
"man";17;0;0;0
"remember";16;0;0;0
"so";33;0;1;1
"now";24;0;0;0
"year";12;0;0;1
"million";9;1;0;0
"think";19;0;1;1
"one";16;0;1;1
"that";85;0;2;5
"than";12;0;0;1
"were";17;0;0;0
"russia";18;0;1;0
"and";155;1;2;2
"any";9;0;0;1
"take";10;0;0;0
"america";13;0;0;0
"only";11;0;1;0
"going";10;0;0;0
"get";13;0;0;0
"s";34;1;3;3
"those";16;0;1;0
"worry";11;0;0;0
"being";11;0;0;0
"on";62;1;0;2
"of";125;0;6;4
"or";25;0;0;0
"your";11;0;0;0
"there";16;0;0;0
"with";39;0;0;2
"as";21;0;0;0
"at";23;0;1;1
"you";58;0;0;0
"all";29;0;1;0
"chinese";218;2;4;6
"to";197;0;4;4
"what";29;0;0;0
"sub";13;0;0;0
"biden";50;1;0;0
"a";174;1;0;3
"hunter";10;1;0;0
"base";23;0;0;0
"also";10;0;0;0
"nothing";10;0;0;0
"his";32;1;0;2
"are";34;0;0;0
"person";16;0;0;0
"back";9;0;0;1
"be";27;0;1;1
"by";19;0;2;0
"russian";26;0;1;0
"up";17;0;0;0
"us";41;0;1;0
"don_t";13;0;0;1
"entire";11;0;0;0
"let";14;0;0;0
"ukraine";11;1;0;0
"from";26;0;1;0
"about";33;0;1;0
"this";63;0;1;1
"allow";30;0;0;0
"our";63;0;1;3
"0001f602";10;0;0;0
"have";39;1;0;0
"need";12;0;0;0
"border";23;0;0;0
"who";22;0;0;0
"should";10;0;0;0
"national";10;0;0;0
"we";38;0;1;0
"he_s";9;0;0;1
"nuclear";12;0;0;0
"state";18;0;1;1
"joe";21;0;0;0
"an";21;0;0;0
"will";13;0;0;0
"capture";14;0;0;0
"balloon";213;2;3;8
"cross";14;0;0;1
"unite";11;0;1;0
"when";28;0;0;0
"off";17;0;0;0
"i";48;0;0;2
"not";31;0;0;5
"0001f923";18;0;1;0
"know";20;0;0;0
"like";40;0;0;0
"because";11;0;0;0
"weather";11;0;1;0
"but";22;0;0;0
"he";38;0;0;1
"u";359;1;1;2
"out";14;1;0;0
